1,Mombasa High Court,MSAHGC,MSAHGC,3,3,32
2,Mombasa ELRC,MSAERC,MSAERC,4,4,32
3,Mombasa Environment and Land Court,MSAELC,MSAELC,5,5,32
4,Kaloleni Magistrate Court,KLNMGC,KLNMGC,6,6,59
5,Mariakani Magistrate Court,MRKMGC,MRKMGC,6,6,84
6,Mombasa Magistrate Court,MSAMGC,MSAMGC,6,6,32
7,Shanzu Magistrate Court,SNZMGC,SNZMGC,6,6,107
8,Tononoka Magistrate Court,TNKMGC,TNKMGC,6,6,115
9,Mombasa Kadhi Court,MSAKDC,MSAKDC,7,7,32
10,Mariakani Kadhi Court,MRKKDC,MRKKDC,7,7,84
11,Kwale Magistrate Court,KWLMGC,KWLMGC,6,6,75
12,Kwale Kadhi Court,KWLKDC,KWLKDC,7,7,75
13,Msambweni Kadhi Court,MWNKDC,MWNKDC,7,7,133
14,Malindi Court of Appeal,MLDCOA,MLDCOA,2,2,5
15,Malindi High Court,MLDHGC,MLDHGC,3,3,5
16,Malindi Environment and Land Court,MLDELC,MLDELC,5,5,5
17,Kilifi Magistrate Court,KLFMGC,KLFMGC,6,6,71
18,Malindi Magistrate Court,MLDMGC,MLDMGC,6,6,5
19,Kilifi Kadhi Court,KLFKDC,KLFKDC,7,7,71
20,Malindi Kadhi Court,MLDKDC,MLDKDC,7,7,5
21,Garsen High Court,GSNHGC,GSNHGC,3,3,14
23,Garsen Magistrate Court,GSNMGC,GSNMGC,6,6,14
24,Hola Magistrate Court,HLAMGC,HLAMGC,6,6,54
25,Garsen Kadhi Court,GSNKDC,GSNKDC,7,7,14
26,Hola Kadhi Court,HLAKDC,HLAKDC,7,7,54
28,Lamu Magistrate Court,LMUMGC,LMUMGC,6,6,77
29,Mpeketoni Magistrate Court,MPKMGC,MPKMGC,6,6,92
30,Lamu Kadhi Court,LMUKDC,LMUKDC,7,7,77
31,Voi High Court,VOIHGC,VOIHGC,3,3,41
32,Taveta Magistrate Court,TVTMGC,TVTMGC,6,6,112
33,Voi Magistrate Court,VOIMGC,VOIMGC,6,6,41
34,Wundanyi Magistrate Court,WDYMGC,WDYMGC,6,6,122
35,Voi Kadhi Court,VOIKDC,VOIKDC,7,7,41
36,Garissa High Court,GRSHGC,GRSHGC,3,3,13
37,Garissa Environment and Land Court,GRSELC,GRSELC,5,5,13
38,Modogashe Kadhi Court,MDGMGC,MDGMGC,7,7,144
41,Garissa Magistrate Court,GRSMGC,GRSMGC,6,6,13
42,Garissa Kadhi Court,GRSKDC,GRSKDC,7,7,13
43,Dadaab Kadhi Court,DDBKDC,DDBKDC,7,7,125
44,Ijara Kadhi Court,IJRKDC,IJRKDC,7,7,131
45,Balambala Kadhi Court,BLMKDC,BLMKDC,7,7,123
46,Wajir Magistrate Court,WJRMGC,WJRMGC,6,6,118
47,Wajir Kadhi Court,WJRKDC,WJRKDC,7,7,118
48,Habaswein Kadhi Court,HBSKDC,HBSKDC,7,7,130
49,Bute Kadhi Court,BTEKDC,BTEKDC,7,7,124
50,Eldas Kadhi Court,EDSKDC,EDSKDC,7,7,126
51,Mandera Magistrate Court,MNDMGC,MNDMGC,6,6,82
52,Mandera Kadhi Court,MNDKDC,MNDKDC,7,7,82
53,Elwak Kadhi Court,EWKKDC,EWKKDC,7,7,127
54,Takaba Kadhi Court,TKBKDC,TKBKDC,7,7,134
55,Marsabit High Court,MSBHGC,MSBHGC,3,3,29
57,Moyale Magistrate Court,MYLMGC,MYLMGC,6,6,91
58,Marsabit Magistrate Court,MSBMGC,MSBMGC,6,6,29
59,Marsabit Kadhi Court,MSBKDC,MSBKDC,7,7,29
60,Moyale Kadhi Court,MYLKDC,MYLKDC,7,7,91
63,Isiolo Magistrate Court,ISLMGC,ISLMGC,6,6,55
64,Isiolo Kadhi Court,ISLKDC,ISLKDC,7,7,55
65,Garbatulla Kadhi Court,GBTKDC,GBTKDC,7,7,129
66,Merti Kadhi Court,MRTKDC,MRTKDC,7,7,132
22,Kipini under Garsen Magistrate Court,KPNMGC,KPNMGC,6,6,14
56,Laisamis/Loyangalani Magistrate Court under Marsabit Law Court,LSMMGC,LSMMGC,6,6,29
61,Sereolipi Kadhi Court,SERKDC,SERKDC,7,7,55
67,Meru High Court,MRUHGC,MRUHGC,3,3,30
68,Meru Environment and Land Court,MRUELC,MRUELC,5,5,30
69,Maua Magistrate Court,MUAMGC,MUAMGC,6,6,87
70,Meru Magistrate Court,MRUMGC,MRUMGC,6,6,30
71,Nkubu Magistrate Court,NKBMGC,NKBMGC,6,6,99
72,Tigania Magistrate Court,TGAMGC,TGAMGC,6,6,114
73,Githongo Magistrate Court,GTGMGC,GTGMGC,6,6,51
74,Chuka High Court,CKAHGC,CKAHGC,3,3,10
75,Chuka Environment and Land Court,CKAELC,CKAELC,5,5,10
76,Chuka Magistrate Court,CKAMGC,CKAMGC,6,6,10
77,Marimanti Magistrate Court,MRTMGC,MRTMGC,6,6,85
79,Embu High Court,EMBHGC,EMBHGC,3,3,12
80,Embu Environment and Land Court,EMBELC,EMBELC,5,5,12
81,Embu Magistrate Court,EMBMGC,EMBMGC,6,6,12
82,Runyenjes Magistrate Court,RNJGMC,RNJGMC,6,6,106
83,Siakago Magistrate Court,SKGMGC,SKGMGC,6,6,108
84,Kitui High Court,KTIHGC,KTIHGC,3,3,25
86,Kitui Magistrate Court,KTIMGC,KTIMGC,6,6,25
87,Kyuso Magistrate Court,KYSMGC,KYSMGC,6,6,76
88,Mutomo Magistrate Court,MTMMGC,MTMMGC,6,6,95
89,Mwingi Magistrate Court,MWGMGC,MWGMGC,6,6,96
90,Kitui Kadhi Court,KTIKDC,KTIKDC,7,7,25
92,Machakos High Court,MKSHGC,MKSHGC,3,3,27
93,Machakos Environment and Land Court ,MKSELC,MKSELC,5,5,27
94,Kangundo Magistrate Court,KGDMGC,KGDMGC,6,6,62
95,Machakos Magistrate Court,MKSMGC,MKSMGC,6,6,27
96,Mavoko Magistrate Court,MVKMGC,MVKMGC,6,6,88
97,Kithimani Magistrate Court,KTMMGC,KTMMGC,6,6,74
98,Machakos Kadhi Court,MKSKDC,MKSKDC,7,7,27
99,Makueni High Court,MKNHGC,MKNHGC,3,3,28
100,Makueni Environment and Land Court,MKNELC,MKNELC,5,5,28
101,Kilungu Magistrate Court,KGUMGC,KGUMGC,6,6,72
102,Makueni Magistrate Court,MKNMGC,MKNMGC,6,6,28
103,Makindu Magistrate Court,MDUMGC,MDUMGC,6,6,81
104,Tawa Magistrate Court,TWAMGC,TWAMGC,6,6,113
105,Engineer Magistrate Court,ENGMGC,ENGMGC,6,6,48
106,Nyeri Court of Appeal,NYRCOA,NYRCOA,2,2,6
107,Nyeri High Court,NYRHGC,NYRHGC,3,3,6
108,Nyeri ELRC,NYRERC,NYRERC,4,4,6
109,Nyeri Environment and Land Court,NYRELC,NYRELC,5,5,6
110,Karatina Magistrate Court,KTNMGC,KTNMGC,6,6,64
111,Mukurwe-ini Magistrate Court,MKWMGC,MKWMGC,6,6,93
112,Nyeri Magistrate Court,NYRMGC,NYRMGC,6,6,6
113,Othaya Magistrate Court,OTYMGC,OTYMGC,6,6,103
114,Nyeri Kadhi Court,NYRKDC,NYRKDC,7,7,6
115,Kerugoya High Court,KRGHGC,KRGHGC,3,3,21
116,Kerugoya Environment and Land Court,KRGELC,KRGELC,5,5,21
118,Baricho Magistrate Court,BRCMGC,BRCMGC,6,6,43
119,Gichugu Magistrate Court,GCGMGC,GCGMGC,6,6,50
120,Kerugoya Magistrate Court,KRGMGC,KRGMGC,6,6,21
121,Wanguru Magistrate Court,WNGMGC,WNGMGC,6,6,119
122,Muranga High Court,MRGHGC,MRGHGC,3,3,33
123,Kandara Magistrate Court,KNDMGC,KNDMGC,6,6,60
124,Kangema Magistrate Court,KNGMGC,KNGMGC,6,6,61
125,Kigumo Magistrate Court,KGMMGC,KGMMGC,6,6,68
126,Muranga Magistrate Court,MRGMGC,MRGMGC,6,6,33
128,Kiambu High Court,KMBHGC,KMBHGC,3,3,22
117,Karaba under Wanguru Magistrate Court,KRBMGC,KRBMGC,6,6,119
78,Maua Kadhi court,MUAKDC,MUAKDC,7,7,87
127,Muranga Kadhi Court,MRGKDC,MRGKDC,7,7,33
91,Mwingi Kadhi Court ,MWGKDC,MWGKDC,7,7,96
129,Kiambu Magistrate Court,KMBMGC,KMBMGC,6,6,22
130,Kikuyu Magistrate Court,KYKMGC,KYKMGC,6,6,69
132,Gatundu Magistrate Court,GTDMGC,GTDMGC,6,6,49
133,Githunguri Magistrate Court,GTNMGC,GTNMGC,6,6,52
134,Thika Magistrate Court,TKAMGC,TKAMGC,6,6,42
136,Lodwar High Court,LDWHGC,LDWHGC,3,3,26
139,Lodwar Magistrate Court,LDWMGC,LDWMGC,6,6,26
140,Kakuma Magistrate Court,KKMMGC,KKMMGC,6,6,58
142,Kapenguria High Court,KPGHGC,KPGHGC,3,3,19
143,Kapenguria Magistrate Court,KPGMGC,KPGMGC,6,6,19
145,Maralal Magistrate Court,MRLMGC,MRLMGC,6,6,83
146,Kitale High Court,KTLHGC,KTLHGC,3,3,24
147,Kitale Environment and Land Court,KTGELC,KTGELC,5,5,24
148,Kitale Magistrate Court,KTGMGC,KTGMGC,6,6,24
150,Eldoret Court of Appeal,ELDCOA,ELDCOA,2,2,11
151,Eldoret High Court,ELDHGC,ELDHGC,3,3,11
152,Eldoret Environment and Land Court,ELDELC,ELDELC,5,5,11
153,Eldoret Magistrate Court,ELDMGC,ELDMGC,6,6,11
154,Eldoret Kadhi Court,ELDKDC,ELDKDC,7,7,11
155,Iten Magistrate Court,ITNMGC,ITNMGC,6,6,56
157,Kapsabet Magistrate Court,KPBMGC,KPBMGC,6,6,63
158,Kabarnet High Court,KBTHGC,KBTHGC,3,3,16
160,Kabarnet Magistrate Court,KBTMGC,KBTMGC,6,6,16
161,Nanyuki High Court,NYKHGC,NYKHGC,3,3,36
162,Nanyuki Magistrate Court,NYKMGC,NYKMGC,6,6,36
163,Nyahururu Magistrate Court,NYHMGC,NYHMGC,6,6,100
164,Naivasha High Court,NSHHGC,NSHHGC,3,3,34
165,Nakuru High Court,NKRHGC,NKRHGC,3,3,35
166,Nakuru ELRC,NKRERC,NKRERC,4,4,35
167,Nakuru Environment and Land Court,NKRELC,NKRELC,5,5,35
168,Eldama Ravine Magistrate Court,ERVMGC,ERVMGC,6,6,47
169,Molo Magistrate Court,MOLMGC,MOLMGC,6,6,90
170,Naivasha Magistrate Court,NSHMGC,NSHMGC,6,6,34
171,Nakuru Magistrate Court,NKRMGC,NKRMGC,6,6,35
172,Nakuru Kadhi Court,NKRKDC,NKRKDC,7,7,35
173,Narok High Court,NRKHGC,NRKHGC,3,3,37
174,Narok Magistrate Court,NRKMGC,NRKMGC,6,6,37
175,Kajiado High Court,KJDHGC,KJDHGC,3,3,17
176,Ngong Magistrate Court,NGNMGC,NGNMGC,6,6,98
177,Kajiado Magistrate Court,KJDMGC,KJDMGC,6,6,17
178,Loitoktok Magistrate Court,LTKMGC,LTKMGC,6,6,79
179,Kajiado Kadhi Court,KJDKDC,KJDKDC,7,7,17
180,Kericho High Court,KRCHGC,KRCHGC,3,3,20
181,Kericho ELRC,KRCERC,KRCERC,4,4,20
182,Kericho Environment and Land Court,KRCELC,KRCELC,5,5,20
183,Kericho Magistrate Court,KRCMGC,KRCMGC,6,6,20
184,Kericho Kadhi Court,KRCKDC,KRCKDC,7,7,20
185,Bomet High Court,BMTHGC,BMTHGC,3,3,7
186,Bomet Magistrate Court,BMTMGC,BMTMGC,6,6,7
187,Sotik Magistrate Court,STKMGC,STKMGC,6,6,110
188,Kakamega High Court,KKGHGC,KKGHGC,3,3,18
189,Kakamega Environment and Land Court,KKGELC,KKGELC,5,5,18
190,Butali Magistrate Court,BTLMGC,BTLMGC,6,6,45
191,Butere Magistrate Court,BTRMGC,BTRMGC,6,6,46
144,Wamba under Maralal Magistrate Court,WMBMGC,WMBMGC,6,6,83
156,Songhor under Kapsabet Magistrate Court,SNGMGC,SNGMGC,6,6,63
137,Lokichar under Lodwar Magistrate Court,LKCMGC,LKCMGC,6,6,26
138,Lokitaung under Lodwar Magistrate Court,LKTMGC,LKTMGC,6,6,26
149,Kitale Kadhi Court,KTGKDC,KTGKDC,7,7,24
141,Lodwar Kadhi Court,LDWKDC,LDWKDC,7,7,26
135,Thika Kadhi Court,TKAKDC,TKAKDC,7,7,42
192,Kakamega Magistrate Court,KKGMGC,KKGMGC,6,6,18
193,Mumias Magistrate Court,MMSMGC,MMSMGC,6,6,94
194,Kakamega Kadhi Court,KKGKDC,KKGKDC,7,7,18
195,Vihiga Magistrate Court,VGHMGC,VGHMGC,6,6,117
196,Hamisi Magistrate Court,HMSMGC,HMSMGC,6,6,53
197,Bungoma High Court,BNGHGC,BNGHGC,3,3,8
198,Bungoma  Environment and Land Court,BNGELC,BNGELC,5,5,8
200,Bungoma Magistrate Court,BNGMGC,BNGMGC,6,6,8
201,Kimilili Magistrate Court,KMLMGC,KMLMGC,6,6,73
202,Sirisia Magistrate Court,SRSMGC,SRSMGC,6,6,109
203,Webuye Magistrate Court,WBYMGC,WBYMGC,6,6,120
204,Bungoma Kadhi Court,BNGKDC,BNGKDC,7,7,8
205,Busia High Court,BSAHGC,BSAHGC,3,3,9
206,Busia Environment and Land Court,BSAELC,BSAELC,5,5,9
207,Busia Magistrate Court,BSAMGC,BSAMGC,6,6,9
208,Siaya High Court,SYAHGC,SYAHGC,3,3,40
209,Bondo Magistrate Court,BNDMGC,BNDMGC,6,6,44
210,Siaya Magistrate Court,SYAMGC,SYAMGC,6,6,40
211,Ukwala Magistrate Court,UKLMGC,UKLMGC,6,6,116
212,Kisumu Court of Appeal,KSMCOA,KSMCOA,2,2,4
213,Kisumu High Court,KSMHGC,KSMHGC,3,3,4
214,Kisumu ELRC,KSMERC,KSMERC,4,4,4
215,Kisumu Environment and Land Court,KSMELC,KSMELC,5,5,4
216,Kisumu Magistrate Court,KSMMGC,KSMMGC,6,6,4
217,Maseno Magistrate Court,MSNMGC,MSNMGC,6,6,86
218,Winam Magistrate Court,WNMMGC,WNMMGC,6,6,121
219,Nyando Magistrate Court,NYDMGC,NYDMGC,6,6,101
220,Tamu Magistrate Court,TAMMGC,TAMMGC,6,6,111
221,Kisumu Kadhi Court,KSMKDC,KSMKDC,7,7,4
222,Homabay High Court,HMBHGC,HMBHGC,3,3,15
224,Homabay Magistrate Court,HMBMGC,HMBMGC,6,6,15
225,Ndhiwa Magistrate Court,NDWMGC,NDWMGC,6,6,97
226,Oyugis Magistrate Court,OYGMGC,OYGMGC,6,6,104
227,Mbita Magistrate Court,MBTMGC,MBTMGC,6,6,89
228,Homabay Kadhi Court,HMBKDC,HMBKDC,7,7,15
229,Migori High Court,MGRHGC,MGRHGC,3,3,31
230,Kehancha Magistrate Court,KHCMGC,KHCMGC,6,6,65
231,Migori Magistrate Court,MGRMGC,MGRMGC,6,6,31
232,Rongo Magistrate Court,RNGMGC,RNGMGC,6,6,105
234,Kisii High Court,KISHGC,KISHGC,3,3,23
235,Kisii Environment and Land Court,KISELC,KISELC,5,5,23
236,Kisii Magistrate Court,KISMGC,KISMGC,6,6,23
237,Ogembo Magistrate Court,OGBMGC,OGBMGC,6,6,102
238,Nyamira High Court,NYMHGC,NYMHGC,3,3,38
239,Keroka Magistrate Court,KRKMGC,KRKMGC,6,6,66
240,Kilgoris Magistrate Court,KLGMGC,KLGMGC,6,6,70
241,Nyamira Magistrate Court,NYMMGC,NYMMGC,6,6,38
242,Supreme Court,NRBSPC,NRBSPC,1,1,1
245,Nairobi Employment and Labour Relations Court,NRBERC,NRBERC,4,4,3
246,Milimani Environment and Land Court,MILELC,MILELC,5,5,2
247,Milimani Commercial Magistrate Court,MILCMC,MILCMC,6,6,3
250,Nairobi City Court,NRBCTC,NRBCTC,6,6,2
251,Makadara Magistrate Court,MKDMGC,MKDMGC,6,6,80
252,Kibera Magistrate Court,KBRMGC,KBRMGC,6,6,67
254,JKIA Magistrate Court,JKAMGC,JKAMGC,6,6,57
255,Nairobi Kadhi Court,NRBKDC,NRBKDC,7,7,2
256,Kibera Kadhi Court,KBRKDC,KBRKDC,7,7,67
223,Kendu Bay under Oyugis Magistrate Court,KDBMGC,KDBMGC,6,6,104
199,Kapsokwony under Kimilili Magistrate Court,KKWMGC,KKWMGC,6,6,73
249,Milimani Magistrate Court,MILMGC,MILMGC,6,6,2
233,Migori Kadhi Court,MGRKDC,MGRKDC,7,7,31
258,Political Parties Disputes Tribunal (PPDT),PPDTBN,PPDTBN,8,8,136
259,The National Environment Tribunal,NETTBN,NETTBN,8,8,136
260,Sports Disputes Tribunal,SPDTBN,SPDTBN,8,8,136
261,Co-operative Tribunal,COPTBN,COPTBN,8,8,136
264,HIV and AIDS Tribunal,HIVTBN,HIVTBN,8,8,136
266,Rent Restriction Tribunal,RRTTBN,RRTTBN,8,8,136
267,Business Premises Rent Tribunal,BPRTBN,BPRTBN,8,8,136
281,Industrial Property Tribunal,IPT,IPT,8,8,136
284,Ruiru Magistrate Court,RURMGC,RURMGC,6,6,139
286,Eldoret ELRC,ELDELRC,ELDELRC,4,4,11
287,Migori ELC,MGRELC,MGRELC,5,5,31
288,Kajiado ELC,KJDELC,KJDELC,5,5,17
289,Muranga ELC,MRGELC,MRGELC,5,5,33
290,Bungoma ELRC,BNGERC,BNGERC,4,4,8
291,Malindi ELRC,MLDERC,MLDERC,4,4,5
292,Busia Kadhi Court,BSAKDC,BSAKDC,7,7,9
294,Thika Environment and Land Court,TKAELC,TKAELC,5,5,42
296,Msambweni Magistrate Court,MWNMGC,MWNMGC,6,6,133
301,Nyahururu ELC,NYHELC,NYHELC,5,5,100
302,Nyahururu High Court,NYHHGC,NYHHGC,3,3,100
307,Transport Licensing Appeals Board Tribunal,TLBTBN,TLBTBN,8,8,136
309,Communications and Multimedia Appeals Tribunal ,CAMAT,CAMAT,8,8,136
310,Legal Education Appeals Tribunal ,LEAT,LEAT,8,8,136
311,Micro and Small Enterprise Tribunal ,MSET,MSET,8,8,136
315,Kenya Institute of Supplies Management Elections Committee,KISM,KISM,9,9,141
317,Narok ELC,NRKELC,NRKELC,5,5,37
321,Limuru Magistrate Court,LMRMGC,LMRMGC,6,6,78
322,Nakuru Court of Appeal,NKRCOA,NKRCOA,2,2,35
323,Mombasa Court of Appeal,MSACOA,MSACOA,2,2,32
324,Dadaab Magistrate Court,DDBMGC,DDBMGC,6,6,125
325,Kahawa Magistrate Court,KHWMGC,KHWMGC,6,6,142
326,Bura/Fafi Kadhis Court,BAFKDC,BAFKDC,7,7,143
327,Witu Kadhi Court,WITKDC,WITKDC,7,7,135
328,Kakuma Kadhi Court,KKMKDC,KKMKDC,7,7,58
331,Baragoi Mobile Court (under Maralal Magistrate Court),BRGMGC,BRGMGC,6,6,83
329,Gaitu Mobile Court,GMC,GMC,6,6,51
299,Wamunyu Mobile Court under Machakos Law Court,WAYMGC,WAYMGC,6,6,27
313,Training Law Court,TLC,TLC,6,6,140
300,Migwani Mobile Court Under Mwingi Law Court,MGWMGC,MGWMGC,6,6,96
332,Mikinduri Mobile Court Under Tigania,MIKMGC,MIKMGC,6,6,114
319,Olokurto Mobile Court,OLOKMGC,OLOKMGC,6,6,37
278,Thika High Court,TKAHGC,TKAHGC,3,3,42
257,Wajir High Court,WJRHGC,WJRHGC,3,3,118
285,Meru Employment and Labour Relations Court,MRUERC,MRUERC,4,4,30
303,Laisamis/Loyangalani Kadhi Court under Marsabit Law Court,LSMKDC,LSMKDC,7,7,29
318,Narok Kadhi Court,NRKKC,NRKKC,7,7,37
305,Northhorr/Illeret Kadhi Court Under Marsabit Law Court,NTHKDC,NTHKDC,7,7,29
263,Water Appeals Board,WAB,ALBTBN,8,8,136
282,State Corporations Appeal Tribunal,SCAT,SCAT,8,8,136
277,Standards Tribunal,STDTBN,STDTBN,8,8,136
283,Registrar of Trademark Tribunal,RTT,RTT,8,8,136
265,Public Private Partnership Petition Committee,PPPPC,PPPPC,8,8,136
280,National Civil Aviation Administrative Review Tribunal,NAART,NAART,8,8,136
293,Land Dispute Tribunal,LDT,LDT,8,8,136
330,Copyright Tribunal,COPT,COPT,8,8,156
276,Competition Tribunal,CPTTBN,CPTTBN,8,8,136
262,Auctioneers Licensing Board,ALB,ALB,8,8,136
308,Advocates Disciplinary Tribunal,ADT,ADT,8,8,136
336,Meru Kadhi Court,MRUKDC,MRUKDC,7,7,30
341,Vihiga High Court,VHGHGC,VHGHGC,3,3,117
347,Kilgoris ELC,KILELC,KILELC,5,5,70
353,Milimani Small Claims Court,MSCC,MSCC,13,13,3
356,Office of the Registrar Magistrate Court (ORMC),ORMC,ORMC,12,12,1
357,Office of Registrar Supreme Court (ORSC),ORSC,ORSC,12,12,1
358,Office of Registrar Court of Appeal (ORCOA),ORCOA,ORCOA,12,12,1
359,Office of Registrar High Court (ORHC),ORHC,ORHC,12,12,2
361,Office of Registrar Employment and Labour Relations Court (ORELRC),ORELRC,ORELRC,12,12,3
362,Office of Registrar Environment and Land Court (ORELC),ORELC,ORELC,12,12,2
363,Office of Registrar Tribunals (ORTR),ORTR,ORTR,12,12,1
364,Office of Registrar Small Claims Court (ORSCC),ORSCC,ORSCC,12,12,3
368,Office of The Chief Registrar Judiciary (OCRJ),OCRJ,OCRJ,12,12,1
371,Siaya ELC,SYAELC,SYAELC,5,5,40
372,Nyamira Environment and Land Court,NYMELC,NYMELC,5,5,38
374,Nanyuki Environment and Land Court,NYKELC,NYKELC,5,5,36
375,Kapsabet Environment and Land Court,KPBELC,KPBELC,5,5,63
376,Kitui Environment and Land Court,KTIELC,KTIELC,5,5,25
377,Kwale Environment and Land Court,KWLELC,KWLELC,5,5,75
378,Vihiga Environment and Land Court,VHGELC,VHGELC,5,5,117
379,Homabay Environment and Land Court,HMBELC,HMBELC,5,5,15
384,Judiciary Committee on Elections,JCE,JCE,9,9,2
243,Nairobi Court of Appeal,NRBCOA,NRBCOA,2,2,1
355,Judiciary Training Institute,JTI,JTI,11,11,1
386,Directorate of Planning and Organisational Performance,DPOP,DPOP,11,11,2
387,Finance and Accounts,FA,FA,11,11,2
388,Supply Chain Management,SCM,SCM,11,11,2
389,Building Services,BS,BS,11,11,2
390,Public Affairs and Communication,PAC,PAC,11,11,2
391,Internal Audit and Risk Management,IAM,IAM,11,11,2
392,Information Communication Technology,ICT,ICT,11,11,2
342,Timau Mobile Court under Meru Law Courts,TIMMGC,TIMMGC,6,6,30
351,Merti Magistrate Mobile Court Under Isiolo,MERMGC,MERMGC,6,6,55
345,Kikima Magistrate Court Under Tawa Law Courts,KIKMGC,KIKMGC,6,6,113
335,Sololo Mobile Court Under Moyale,SOLMGC,SOLMGC,6,6,91
350,Sereolipi Magistrate Mobile Court Under Isiolo,SERMGC,SERMGC,6,6,55
380,Port Victoria Mobile Court,POVMGC,POVMGC,6,6,9
382,Butula Mobile Court,BUTMGC,BUTMGC,6,6,9
337,Kipkelion Mobile Court Under Kericho Law Courts,KIPMGC,KIPMGC,6,6,20
370,Marigat Mobile Court,MARMGC,MARMGC,6,6,16
381,Malaba Mobile Court,MALMGC,MALMGC,6,6,9
349,Kapsabet High Court,KAPHGC,KAPHGC,3,3,63
367,Office of The Judiciary Ombudsman (OJO),OJO,OJO,11,11,1
346,Kilgoris High Court,KILHGC,KILHGC,3,3,70
352,Garissa ELRC,GRSELRC,GRSELRC,4,4,13
354,Kitale ELRC,KTLERC,KTLERC,4,4,24
333,Machakos ELRC,MKSERC,MKSERC,4,4,27
373,Isiolo Environment and Land Court,ISLELC,ISLELC,5,5,55
338,Refugee Appeal Board,RABD,RABD,8,8,136
343,Insurance Appeals Tribunal ,IATT,IATT,8,8,136
340,HIV Tribunal,HAT,HAT,8,8,155
339,Education Appeals Tribunal - Nairobi,EATNAIROBI,EATNAIROBI,8,8,154
348,ENERGY AND PETROLEUM TRIBUNAL,EPTBN,EPTBN,8,8,136
369,Community Service Orders Co-ordinator (CSOC),CSOC,CSOC,12,12,1
360,Office of Principal Judge (OPJ),OPJ,OPJ,12,12,2
365,Office of Registrar Judicial Service Commission (ORJSC),ORJSC,ORJSC,12,12,1
366,Office of The Chief Justice (OCJ),OCJ,OCJ,12,12,1
393,Human Resource Management,HRM,HRM,11,11,2
394,Administration and Security Services,ASS,ASS,11,11,2
306,Vihiga Kadhi Court,VHGKDC,VHGKDC,7,6,117
244,Milimani High Court,MILHGC,MILHGC,3,3,2
159,East Pokot under Kabarnet Magistrate Court,EPKMGC,EPKMGC,6,6,16
334,Etago Mobile Court under Ogembo Court,ETGMGC,ETGMGC,6,6,102
27,Faza Islands under Lamu Magistrate Court,FZIMGC,FZIMGC,6,6,128
85,Zombe Mobile Court,ZMBMGC,ZMBMGC,6,6,25
304,Northhorr/Illeret Magistrate Court Under Marsabit Law Court,NTHMGC,NTHMGC,6,6,29
396,The National Council for the Administration of Justice,NCAJ,NCAJ,11,11,2
397,Library,Library,Library,11,11,2
383,Disciplinary & Ethics Committee of the Medical Practitioners and Dentists Council,DECMPDC,DECMPDC,8,8,136
312,Competent Authority Tribunal ,COMPTBN,COMPTBN,8,8,136
